序号	所属模块	工作事项	级别	工作描述	开始日期	截止日期	负责人	当前状态	关键产出
1	可持续友好	内部宣贯+系统策划	一级一类	内部全覆盖宣贯，制定全年计划，推出标杆激励方案	2026/1/1	2026/3/31	何晓婷	已完成	宣贯覆盖率+激励方案
2	可持续友好	统一品牌物料推出	一级一类	品牌墙+线上图文视频+氛围建设，开设可持续友好专栏	2026/4/1	2026/6/30	何晓婷	进行中	品牌物料体系
3	可持续友好	"我家的友好刻度"事件	一级一类	儿童+社区共建，跟小业主及家庭共创友好刻度	2026/7/1	2026/9/30	何晓婷	待启动	品牌出圈传播
4	可持续友好	产学研课题认证	一级二类	联合高校/研究机构，推进认证	2026/10/1	2026/12/31	何晓婷	待启动	权威认证证书
5	产品品牌	团队配置+系统规划	一级一类	与交付/客户研究协作，深化司事润物品牌	2026/1/1	2026/3/31	龙晶晶	已完成	全年宣传规划
6	产品品牌	本地化标杆交付事件打造	一级一类	每个交付区域1个标杆事件	2026/4/1	2026/9/30	龙晶晶	进行中	每个区域1个标杆
7	产品品牌	产品品牌号起号	二级	完成起号，输出有影响力内容	2026/10/1	2026/12/31	龙晶晶	待启动	账号起号+内容
8	社会化营销	"锣马假日"新春推广	一级二类	春节特别行动服务亮点记录与对外宣发	2026/1/1	2026/3/31	宋香回	已完成	爆款基因+执行指引
9	社会化营销	节点性小事件营销跑通	二级	楼道垂直马拉松等可复制事件	2026/4/1	2026/6/30	宋香回	进行中	可复制模式
10	社会化营销	应急事件（生命友好）推广	一级一类	夏季高温/暴雨轻奇观事件+魔性短视频	2026/7/1	2026/9/30	宋香回	待启动	业主自发传播爆款
11	社会化营销	邦泰新职人计划	一级二类	冬季特殊人群关怀（外卖员/保洁员）	2026/10/1	2026/12/31	宋香回	待启动	纪实物料
12	新媒体	新闻快报类爆款	一级一类	内容四象限主力账号集群，创造爆款	2026/1/1	2026/12/31	张樊若兰	持续进行	爆款内容
13	新媒体	内容创客激励计划	一级二类	发掘有潜力员工，专项培训认证	2026/4/1	2026/9/30	张樊若兰	进行中	业主创作者≥50人
14	新媒体	全年运营复盘优化	二级	输出全年运营复盘报告	2026/10/1	2026/12/31	张樊若兰	待启动	复盘报告
15	临时专项	延安锦天府儿童救援事件推广	紧急	系统性对外推广，争取媒体报道	2026/4/13	2026/4/30	何晓婷+宋香回	进行中	≥10家媒体报道
